"province_of_origin","year","Destination_Newfoundland_and_Labrador","Destination_Prince_Edward_Island","Destination_Nova_Scotia","Destination_New_Brunswick","Destination_Quebec","Destination_Ontario","Destination_Manitoba","Destination_Saskatchewan","Destination_Alberta","Destination_British_Columbia","Destination_Yukon","Destination_Northwest_Territories_including_Nunavut_Terminated","Destination_Northwest_Territories","Destination_Nunavut",meta
"Newfoundland and Labrador","1971/1972",0,141,1451,1042,1104,6733,154,78,323,465,15,21,0,0,"How to cite:   Statistics Canada.  Table  17-10-0022-01   Estimates of interprovincial migrants by province or territory of origin and destination, annual"
"Newfoundland and Labrador","1972/1973",0,172,1999,1026,1204,6541,350,118,353,605,91,140,0,0,"DOI: https://doi.org/10.25318/1710002201-eng"
"Newfoundland and Labrador","1973/1974",0,137,1880,859,572,4716,555,218,2488,822,40,205,0,0, "missing data or N/A replaced with 0"
"Newfoundland and Labrador","1974/1975",0,159,1917,803,446,4612,432,160,2280,802,31,194,0,0,
"Newfoundland and Labrador","1975/1976",0,223,2377,1038,1301,8086,939,117,812,850,42,67,0,0,
"Newfoundland and Labrador","1976/1977",0,100,1899,1065,1033,5087,638,111,791,798,104,164,0,0,
"Newfoundland and Labrador","1977/1978",0,183,2031,1271,876,5182,477,99,759,578,43,68,0,0,
"Newfoundland and Labrador","1978/1979",0,135,1878,937,650,5608,696,181,1473,678,33,184,0,0,
"Newfoundland and Labrador","1979/1980",0,184,1739,792,370,4888,597,178,2787,886,73,169,0,0,
"Newfoundland and Labrador","1980/1981",0,107,1635,674,332,4555,575,232,3362,987,72,259,0,0,
"Newfoundland and Labrador","1981/1982",0,146,1708,630,285,4875,443,242,4567,1182,96,282,0,0,
"Newfoundland and Labrador","1982/1983",0,113,1467,624,267,3277,207,124,1547,536,18,184,0,0,
"Newfoundland and Labrador","1983/1984",0,151,1712,593,354,3592,279,127,1089,618,19,245,0,0,
"Newfoundland and Labrador","1984/1985",0,139,2208,484,357,3957,363,94,987,603,10,232,0,0,
"Newfoundland and Labrador","1985/1986",0,133,2021,614,308,5771,283,123,1526,670,25,172,0,0,
"Newfoundland and Labrador","1986/1987",0,112,1884,570,275,7618,320,105,868,486,43,166,0,0,
"Newfoundland and Labrador","1987/1988",0,159,1713,621,303,7933,295,88,810,508,41,131,0,0,
"Newfoundland and Labrador","1988/1989",0,162,1853,612,297,6835,222,86,961,528,48,157,0,0,
"Newfoundland and Labrador","1989/1990",0,156,1940,777,329,7315,287,107,1121,710,55,194,0,0,
"Newfoundland and Labrador","1990/1991",0,169,1881,708,273,5692,281,67,1180,704,75,178,0,0,
"Newfoundland and Labrador","1991/1992",0,233,1905,719,268,4855,203,118,1278,1026,88,0,154,88,
"Newfoundland and Labrador","1992/1993",0,221,1868,671,290,4550,182,120,1261,1173,63,0,160,77,
"Newfoundland and Labrador","1993/1994",0,214,1977,596,323,4859,197,100,1340,1611,41,0,161,113,
"Newfoundland and Labrador","1994/1995",0,217,1879,628,246,5745,273,99,1968,1984,59,0,209,73,
"Newfoundland and Labrador","1995/1996",0,262,1999,737,297,5643,294,121,2743,1894,99,0,252,100,
"Newfoundland and Labrador","1996/1997",0,216,1948,645,290,5263,230,220,4452,1414,84,0,210,124,
"Newfoundland and Labrador","1997/1998",0,243,2012,644,236,5679,266,298,6099,1037,45,0,194,129,
"Newfoundland and Labrador","1998/1999",0,257,1908,651,174,5481,216,174,3869,674,28,0,142,116,
"Newfoundland and Labrador","1999/2000",0,233,1915,663,186,5412,200,137,3102,508,25,0,140,142,
"Newfoundland and Labrador","2000/2001",0,208,1817,713,219,5003,194,145,2836,540,7,0,133,177,
"Newfoundland and Labrador","2001/2002",0,206,1942,691,217,4253,206,177,3499,587,7,0,195,156,
"Newfoundland and Labrador","2002/2003",0,216,1807,568,241,3988,178,131,2831,526,25,0,219,151,
"Newfoundland and Labrador","2003/2004",0,181,1634,570,174,3646,230,142,2949,488,18,0,228,164,
"Newfoundland and Labrador","2004/2005",0,197,1496,519,204,3644,214,116,4626,530,17,0,183,177,
"Newfoundland and Labrador","2005/2006",0,169,1366,529,186,2959,221,154,5985,677,12,0,179,200,
"Newfoundland and Labrador","2006/2007",0,175,1217,511,207,2449,205,180,6554,617,18,0,199,141,
"Newfoundland and Labrador","2007/2008",0,102,1223,454,205,2237,164,120,4861,571,19,0,196,135,
"Newfoundland and Labrador","2008/2009",0,114,1057,406,200,1909,163,107,3790,370,16,0,137,116,
"Newfoundland and Labrador","2009/2010",0,115,1019,446,146,2072,123,101,2754,439,17,0,104,104,
"Newfoundland and Labrador","2010/2011",0,124,979,437,180,1953,126,153,3199,394,14,0,102,94,
"Newfoundland and Labrador","2011/2012",0,123,937,361,198,1970,118,151,3145,464,17,0,82,62,
"Newfoundland and Labrador","2012/2013",0,105,917,389,173,1662,111,150,2674,449,25,0,64,69,
"Newfoundland and Labrador","2013/2014",0,84,994,334,173,1683,119,122,2648,439,16,0,82,66,
"Newfoundland and Labrador","2014/2015",0,72,982,383,186,1895,97,141,2433,512,9,0,67,74,
"Newfoundland and Labrador","2015/2016",0,108,987,373,196,2081,141,108,1738,496,16,0,78,46,
"Newfoundland and Labrador","2016/2017",0,130,1100,393,220,2269,115,134,1828,507,10,0,52,72,
"Newfoundland and Labrador","2017/2018",0,146,1165,483,289,2388,114,112,2474,591,33,0,69,56,
"Newfoundland and Labrador","2018/2019",0,180,1480,562,266,2700,150,222,3040,913,19,0,89,85,
"Prince Edward Island","1971/1972",90,0,864,661,252,1512,87,64,259,150,12,16,0,0,
"Prince Edward Island","1972/1973",155,0,885,405,129,1437,137,27,206,143,8,13,0,0,
"Prince Edward Island","1973/1974",180,0,869,728,205,1349,174,42,342,229,4,4,0,0,
"Prince Edward Island","1974/1975",147,0,942,748,144,1121,176,46,403,234,16,26,0,0,
"Prince Edward Island","1975/1976",119,0,1006,611,180,1053,141,74,430,171,11,16,0,0,
"Prince Edward Island","1976/1977",184,0,894,616,111,938,129,71,531,185,3,21,0,0,
"Prince Edward Island","1977/1978",139,0,799,490,77,816,117,54,503,217,8,13,0,0,
"Prince Edward Island","1978/1979",129,0,1048,582,165,842,104,52,462,247,5,22,0,0,
"Prince Edward Island","1979/1980",116,0,781,492,96,894,70,68,712,272,14,28,0,0,
"Prince Edward Island","1980/1981",121,0,990,528,108,914,107,58,1199,301,11,30,0,0,
"Prince Edward Island","1981/1982",148,0,933,552,73,893,113,75,1172,213,18,41,0,0,
"Prince Edward Island","1982/1983",133,0,620,456,104,728,61,59,441,144,6,15,0,0,
"Prince Edward Island","1983/1984",131,0,589,432,80,721,76,19,247,107,7,13,0,0,
"Prince Edward Island","1984/1985",118,0,686,390,154,804,64,48,233,139,4,14,0,0,
"Prince Edward Island","1985/1986",86,0,759,485,111,843,67,51,324,151,4,25,0,0,
"Prince Edward Island","1986/1987",88,0,775,468,169,955,61,26,197,150,12,24,0,0,
"Prince Edward Island","1987/1988",110,0,650,531,133,997,33,42,209,150,5,8,0,0,
"Prince Edward Island","1988/1989",133,0,835,502,132,927,74,29,204,140,4,29,0,0,
"Prince Edward Island","1989/1990",133,0,948,545,169,1123,58,58,286,231,2,22,0,0,
"Prince Edward Island","1990/1991",153,0,835,476,122,862,53,57,297,245,8,26,0,0,
"Prince Edward Island","1991/1992",135,0,944,385,121,815,58,70,374,250,8,0,12,2,
"Prince Edward Island","1992/1993",61,0,529,422,88,504,36,18,133,179,6,0,14,5,
"Prince Edward Island","1993/1994",93,0,490,332,92,579,22,45,188,221,1,0,3,0,
"Prince Edward Island","1994/1995",80,0,517,353,66,627,36,34,228,207,3,0,12,2,
"Prince Edward Island","1995/1996",151,0,556,359,62,589,21,44,236,205,7,0,3,11,
"Prince Edward Island","1996/1997",196,0,612,369,105,643,43,21,381,175,3,0,7,3,
"Prince Edward Island","1997/1998",110,0,645,468,106,724,47,53,617,202,2,0,8,4,
"Prince Edward Island","1998/1999",101,0,588,387,85,665,24,33,360,119,11,0,11,2,
"Prince Edward Island","1999/2000",146,0,649,427,85,734,23,30,324,120,10,0,3,7,
"Prince Edward Island","2000/2001",96,0,610,331,85,689,51,33,349,133,2,0,8,15,
"Prince Edward Island","2001/2002",154,0,575,413,102,724,31,26,374,159,0,0,13,6,
"Prince Edward Island","2002/2003",153,0,585,419,77,663,33,42,363,134,8,0,30,14,
"Prince Edward Island","2003/2004",107,0,584,386,80,616,41,41,390,161,2,0,13,5,
"Prince Edward Island","2004/2005",118,0,525,466,88,576,28,36,631,187,2,0,11,8,
"Prince Edward Island","2005/2006",145,0,616,455,88,606,21,35,866,232,8,0,21,6,
"Prince Edward Island","2006/2007",115,0,579,448,78,633,32,33,1157,201,5,0,48,5,
"Prince Edward Island","2007/2008",174,0,535,414,97,666,30,36,910,216,4,0,17,13,
"Prince Edward Island","2008/2009",159,0,603,413,76,706,24,36,733,254,20,0,23,11,
"Prince Edward Island","2009/2010",115,0,551,332,89,784,25,35,479,205,4,0,24,6,
"Prince Edward Island","2010/2011",124,0,507,359,94,717,36,47,534,250,7,0,20,9,
"Prince Edward Island","2011/2012",123,0,528,391,102,888,31,79,786,291,10,0,6,3,
"Prince Edward Island","2012/2013",98,0,489,370,114,878,31,68,911,201,10,0,17,8,
"Prince Edward Island","2013/2014",88,0,550,351,88,775,34,58,908,262,4,0,14,7,
"Prince Edward Island","2014/2015",103,0,530,344,100,718,27,51,880,266,7,0,17,6,
"Prince Edward Island","2015/2016",96,0,494,318,85,897,24,46,528,330,8,0,6,12,
"Prince Edward Island","2016/2017",98,0,488,302,96,921,25,43,401,266,15,0,14,11,
"Prince Edward Island","2017/2018",68,0,510,314,109,1242,32,22,399,294,4,0,11,11,
"Prince Edward Island","2018/2019",112,0,563,264,160,1817,48,44,486,292,0,0,0,7,
"Nova Scotia","1971/1972",1641,748,0,3435,2093,10426,596,248,1393,2589,50,78,0,0,
"Nova Scotia","1972/1973",1545,912,0,3751,1554,8675,627,168,1295,1749,37,61,0,0,
"Nova Scotia","1973/1974",1931,997,0,3898,1935,11038,1237,216,1570,2333,29,47,0,0,
"Nova Scotia","1974/1975",1563,1190,0,4389,1663,9179,1027,531,1874,2766,70,108,0,0,
"Nova Scotia","1975/1976",1479,1094,0,3877,1349,7993,713,471,1937,1811,57,92,0,0,
"Nova Scotia","1976/1977",1432,831,0,3352,1326,7638,858,456,3364,2178,54,159,0,0,
"Nova Scotia","1977/1978",1375,922,0,2839,1229,7113,737,376,3225,2482,23,150,0,0,
"Nova Scotia","1978/1979",1365,870,0,3262,1220,6530,600,432,3270,2528,35,150,0,0,
"Nova Scotia","1979/1980",1436,647,0,2893,1158,6485,666,381,4130,2408,32,178,0,0,
"Nova Scotia","1980/1981",1412,741,0,2529,1139,6702,592,412,5330,2478,72,166,0,0,
"Nova Scotia","1981/1982",1351,931,0,2606,1034,6669,665,419,4699,2152,47,262,0,0,
"Nova Scotia","1982/1983",1126,607,0,2384,834,5694,467,328,2240,1508,20,167,0,0,
"Nova Scotia","1983/1984",1072,653,0,2235,940,5644,479,287,1384,1368,26,132,0,0,
"Nova Scotia","1984/1985",1093,677,0,2233,1013,6012,491,248,1514,1248,26,141,0,0,
"Nova Scotia","1985/1986",1078,712,0,2642,1234,7231,568,280,2309,1582,20,150,0,0,
"Nova Scotia","1986/1987",1207,561,0,2526,1076,8002,513,218,1747,1679,18,120,0,0,
"Nova Scotia","1987/1988",1207,742,0,2625,1242,9329,525,313,1461,2147,20,143,0,0,
"Nova Scotia","1988/1989",1284,789,0,2598,1240,8327,467,197,1673,1925,17,155,0,0,
"Nova Scotia","1989/1990",1432,831,0,2944,1516,8485,492,228,1805,2277,52,147,0,0,
"Nova Scotia","1990/1991",1264,638,0,2768,1128,7465,602,199,1797,2416,41,163,0,0,
"Nova Scotia","1991/1992",1410,712,0,2506,1123,6791,505,266,1971,2549,69,0,104,49,
"Nova Scotia","1992/1993",1139,576,0,2533,1161,6578,540,270,1835,2797,40,0,72,70,
"Nova Scotia","1993/1994",1168,638,0,2439,942,6268,485,232,1734,3020,25,0,104,91,
"Nova Scotia","1994/1995",1259,643,0,2512,984,6445,560,280,2175,2965,56,0,85,76,
"Nova Scotia","1995/1996",1139,726,0,2487,970,6580,483,238,2275,2392,65,0,85,68,
"Nova Scotia","1996/1997",1106,673,0,2446,957,6224,447,267,2988,2226,47,0,89,56,
"Nova Scotia","1997/1998",1176,571,0,2321,781,6850,447,364,4143,1982,46,0,114,78,
"Nova Scotia","1998/1999",1043,561,0,2170,700,6018,416,186,2699,1330,35,0,82,88,
"Nova Scotia","1999/2000",1159,680,0,2353,937,6791,392,199,2570,1289,13,0,91,68,
"Nova Scotia","2000/2001",1118,613,0,2438,848,7291,357,322,2745,1402,38,0,120,98,
"Nova Scotia","2001/2002",1197,627,0,2601,815,6707,466,199,2898,1439,37,0,133,110,
"Nova Scotia","2002/2003",1245,545,0,2431,909,6079,394,251,2709,1343,48,0,133,89,
"Nova Scotia","2003/2004",1252,560,0,2384,830,5537,356,231,2894,1564,30,0,116,105,
"Nova Scotia","2004/2005",1189,637,0,2405,776,5915,311,219,4506,1824,52,0,165,82,
"Nova Scotia","2005/2006",1227,580,0,2221,781,5439,342,259,5472,1544,42,0,121,59,
"Nova Scotia","2006/2007",1098,518,0,2226,725,5311,331,305,6636,1587,49,0,170,84,
"Nova Scotia","2007/2008",1145,549,0,2193,781,5461,352,269,5100,1655,54,0,154,71,
"Nova Scotia","2008/2009",1134,444,0,2074,697,4910,339,280,4513,1545,62,0,131,89,
"Nova Scotia","2009/2010",1018,450,0,2032,738,5015,309,309,3110,1318,42,0,157,62,
"Nova Scotia","2010/2011",992,467,0,2044,697,4632,305,257,3549,1376,62,0,151,62,
"Nova Scotia","2011/2012",1117,587,0,2093,716,5074,353,452,4962,1580,54,0,182,106,
"Nova Scotia","2012/2013",1005,431,0,1759,588,4725,297,427,5342,1304,57,0,132,80,
"Nova Scotia","2013/2014",968,427,0,1787,556,4452,238,423,5402,1446,64,0,135,75,
"Nova Scotia","2014/2015",934,441,0,1739,687,4874,296,370,5141,1474,28,0,117,64,
"Nova Scotia","2015/2016",786,450,0,1714,628,5239,329,248,3046,1663,68,0,114,68,
"Nova Scotia","2016/2017",616,433,0,1633,635,4843,269,227,2466,1198,47,0,88,45,
"Nova Scotia","2017/2018",578,429,0,1716,734,4743,204,212,2427,1221,46,0,99,52,
"Nova Scotia","2018/2019",536,606,0,1979,1055,4903,173,246,2724,1273,57,0,209,257,
"New Brunswick","1971/1972",1247,723,3467,0,3465,8184,362,190,918,1200,20,30,0,0,
"New Brunswick","1972/1973",1002,738,3947,0,3415,6637,484,136,836,1357,14,21,0,0,
"New Brunswick","1973/1974",882,922,4187,0,3211,6871,750,211,1039,1453,6,10,0,0,
"New Brunswick","1974/1975",781,685,3592,0,3490,5913,616,326,1255,1319,23,35,0,0,
"New Brunswick","1975/1976",686,588,3653,0,3096,5814,591,290,1299,946,10,18,0,0,
"New Brunswick","1976/1977",595,474,3510,0,2590,5171,607,251,1732,1019,18,80,0,0,
"New Brunswick","1977/1978",638,546,3544,0,2337,5107,526,360,2034,1256,22,113,0,0,
"New Brunswick","1978/1979",628,586,3307,0,2133,4919,600,286,2276,1244,20,101,0,0,
"New Brunswick","1979/1980",650,573,3105,0,2082,4944,479,228,3232,1215,16,92,0,0,
"New Brunswick","1980/1981",662,503,3226,0,2213,4901,439,431,4460,1368,31,111,0,0,
"New Brunswick","1981/1982",588,440,2832,0,1902,4861,409,327,4030,1149,25,136,0,0,
"New Brunswick","1982/1983",450,404,2598,0,1502,3834,373,212,1413,574,6,96,0,0,
"New Brunswick","1983/1984",361,415,2577,0,1644,3554,362,195,873,604,12,61,0,0,
"New Brunswick","1984/1985",395,406,2618,0,2122,3925,326,181,994,582,19,81,0,0,
"New Brunswick","1985/1986",338,447,2862,0,2335,5033,414,207,1173,679,14,97,0,0,
"New Brunswick","1986/1987",402,497,2670,0,2208,5743,439,222,934,668,37,59,0,0,
"New Brunswick","1987/1988",485,424,2905,0,2442,6031,788,164,943,782,21,72,0,0,
"New Brunswick","1988/1989",469,483,2862,0,2505,5792,359,148,1179,855,25,72,0,0,
"New Brunswick","1989/1990",441,507,3225,0,2542,5648,392,144,1211,912,21,103,0,0,
"New Brunswick","1990/1991",451,411,2616,0,2211,4371,431,156,1103,991,10,70,0,0,
"New Brunswick","1991/1992",428,435,2426,0,2182,4544,415,155,1193,1090,29,0,42,29,
"New Brunswick","1992/1993",418,384,2798,0,2202,4184,318,127,1374,1178,7,0,55,28,
"New Brunswick","1993/1994",369,408,2391,0,1893,3599,286,136,1106,1115,10,0,67,16,
"New Brunswick","1994/1995",381,391,2284,0,2007,3674,322,141,1191,1173,18,0,58,26,
"New Brunswick","1995/1996",425,498,2328,0,1978,3870,302,153,1371,1110,30,0,49,25,
"New Brunswick","1996/1997",489,472,2329,0,1772,3869,269,155,1986,1060,17,0,56,19,
"New Brunswick","1997/1998",365,427,2634,0,1859,4403,285,214,2889,908,18,0,53,41,
"New Brunswick","1998/1999",318,395,2365,0,1813,3881,224,168,1839,617,22,0,33,39,
"New Brunswick","1999/2000",440,425,2464,0,1952,4401,272,142,1695,599,5,0,33,41,
"New Brunswick","2000/2001",407,385,2350,0,2088,4114,227,125,1583,676,19,0,59,36,
"New Brunswick","2001/2002",431,436,2393,0,2166,4052,222,146,2271,686,23,0,57,45,
"New Brunswick","2002/2003",498,406,2514,0,2204,3708,221,137,1667,609,11,0,64,37,
"New Brunswick","2003/2004",479,399,2314,0,2090,3355,216,128,1709,635,14,0,82,29,
"New Brunswick","2004/2005",504,428,2487,0,1966,3457,210,108,2578,814,17,0,77,32,
"New Brunswick","2005/2006",426,436,2410,0,1950,3355,189,111,3916,785,19,0,42,34,
"New Brunswick","2006/2007",430,338,2117,0,1685,3203,230,165,4583,789,27,0,42,33,
"New Brunswick","2007/2008",385,385,2186,0,1641,3252,178,122,3560,743,19,0,74,40,
"New Brunswick","2008/2009",437,307,2077,0,1635,2987,174,112,3021,622,22,0,68,43,
"New Brunswick","2009/2010",363,394,1980,0,1558,2827,256,179,2031,633,19,0,40,32,
"New Brunswick","2010/2011",382,354,1972,0,1554,2723,204,167,2201,675,13,0,50,30,
"New Brunswick","2011/2012",433,376,2232,0,1515,3001,271,233,2990,674,24,0,50,51,
"New Brunswick","2012/2013",414,319,1931,0,1284,2944,192,281,3723,637,15,0,44,23,
"New Brunswick","2013/2014",407,313,2048,0,1272,3119,208,334,3962,762,28,0,62,57,
"New Brunswick","2014/2015",325,365,2110,0,1276,3001,206,229,3470,881,14,0,77,20,
"New Brunswick","2015/2016",351,369,2175,0,1456,3385,175,238,2203,872,18,0,51,68,
"New Brunswick","2016/2017",280,351,1973,0,1289,3046,188,215,1586,651,28,0,75,20,
"New Brunswick","2017/2018",267,333,2061,0,1511,3240,196,177,1601,750,16,0,34,42,
"New Brunswick","2018/2019",299,288,2163,0,1725,3602,188,164,1962,897,20,0,18,13,
"Quebec","1971/1972",1284,304,2234,4514,0,40994,1869,427,2735,5116,66,105,0,0,
"Quebec","1972/1973",1062,367,2808,4348,0,36651,1686,392,2948,5432,79,123,0,0,
"Quebec","1973/1974",1186,269,2482,4613,0,34296,1959,539,3147,5013,98,154,0,0,
"Quebec","1974/1975",933,359,2498,4840,0,28314,1377,542,3595,4998,51,79,0,0,
"Quebec","1975/1976",936,279,2536,4979,0,27185,1582,516,3922,3802,71,108,0,0,
"Quebec","1976/1977",672,364,2159,3279,0,35032,1578,702,5626,5533,53,235,0,0,
"Quebec","1977/1978",693,359,2186,3578,0,46453,1589,829,8068,6302,74,243,0,0,
"Quebec","1978/1979",499,212,1847,2906,0,37011,1274,550,6271,5553,73,212,0,0,
"Quebec","1979/1980",512,208,1577,2877,0,32426,1080,579,7397,5064,74,200,0,0,
"Quebec","1980/1981",378,143,1496,2461,0,27036,841,521,8048,4550,62,210,0,0,
"Quebec","1981/1982",496,146,1304,2586,0,27821,985,641,9135,3700,66,259,0,0,
"Quebec","1982/1983",392,201,1566,2849,0,29498,972,703,5777,3289,30,282,0,0,
"Quebec","1983/1984",324,198,1481,2224,0,29737,870,371,2490,2501,40,212,0,0,
"Quebec","1984/1985",242,136,1082,1903,0,24385,771,431,1713,2099,26,215,0,0,
"Quebec","1985/1986",205,161,1100,2140,0,22450,645,352,1725,1961,40,185,0,0,
"Quebec","1986/1987",264,155,1129,1974,0,20682,728,299,1525,2279,35,167,0,0,
"Quebec","1987/1988",307,161,1265,2232,0,24366,668,320,1804,2744,59,142,0,0,
"Quebec","1988/1989",242,177,1271,2486,0,24781,730,338,2020,3125,44,197,0,0,
"Quebec","1989/1990",264,152,1272,2736,0,26216,791,380,2533,4097,70,166,0,0,
"Quebec","1990/1991",249,149,1187,2391,0,24360,767,397,2698,4110,67,170,0,0,
"Quebec","1991/1992",258,184,1310,2330,0,24455,694,346,2701,5142,60,0,78,110,
"Quebec","1992/1993",243,131,1032,2074,0,21783,683,369,2249,5198,55,0,61,92,
"Quebec","1993/1994",313,131,994,1914,0,21035,522,258,1897,5297,51,0,36,87,
"Quebec","1994/1995",305,101,1007,1878,0,20663,605,312,1788,5168,39,0,38,99,
"Quebec","1995/1996",219,141,1002,2014,0,22702,614,301,2675,5271,68,0,53,122,
"Quebec","1996/1997",219,113,1017,2156,0,24388,626,279,3944,4949,61,0,38,83,
"Quebec","1997/1998",224,135,984,1875,0,24885,586,344,4027,4225,49,0,63,74,
"Quebec","1998/1999",216,107,931,1604,0,22691,548,237,2920,3159,43,0,50,65,
"Quebec","1999/2000",233,121,865,1806,0,23510,470,272,2763,2856,51,0,75,113,
"Quebec","2000/2001",182,110,791,1716,0,22235,432,192,2190,2732,54,0,64,85,
"Quebec","2001/2002",222,108,779,1777,0,19774,469,254,2620,2626,36,0,78,95,
"Quebec","2002/2003",222,118,747,1687,0,17783,351,253,2295,2432,47,0,73,93,
"Quebec","2003/2004",185,96,696,1657,0,16254,397,270,2262,2569,44,0,56,63,
"Quebec","2004/2005",174,81,803,1739,0,17658,424,260,3417,2949,72,0,58,61,
"Quebec","2005/2006",211,109,805,1691,0,17123,363,248,5354,3260,63,0,62,86,
"Quebec","2006/2007",163,105,732,1771,0,17817,436,410,7393,3507,63,0,91,74,
"Quebec","2007/2008",179,108,806,1728,0,17160,376,493,7454,3209,102,0,97,72,
"Quebec","2008/2009",190,80,672,1483,0,15613,424,420,5583,2991,94,0,101,75,
"Quebec","2009/2010",165,143,634,1631,0,14938,417,436,3158,2543,59,0,83,99,
"Quebec","2010/2011",147,122,738,1470,0,15268,393,390,3302,2557,75,0,125,60,
"Quebec","2011/2012",202,120,778,1591,0,16481,443,427,4144,2705,68,0,62,73,
"Quebec","2012/2013",213,114,740,1352,0,16019,436,456,5158,2611,65,0,55,91,
"Quebec","2013/2014",223,100,705,1388,0,17488,406,486,6610,3235,65,0,67,75,
"Quebec","2014/2015",187,129,735,1309,0,18828,417,451,6787,3662,66,0,90,92,
"Quebec","2015/2016",186,115,735,1545,0,18985,461,314,4006,3788,64,0,103,75,
"Quebec","2016/2017",187,120,763,1452,0,18084,420,286,2758,3295,90,0,102,101,
"Quebec","2017/2018",202,135,738,1415,0,17255,367,261,2537,3282,78,0,104,96,
"Quebec","2018/2019",178,98,658,1381,0,18401,341,289,2818,3143,97,0,162,87,
"Ontario","1971/1972",6642,1728,10716,7912,24347,0,8188,2875,11786,18476,404,632,0,0,
"Ontario","1972/1973",6823,1648,11192,8569,23694,0,9824,2952,11901,19366,295,462,0,0,
"Ontario","1973/1974",7350,1940,11609,8693,26885,0,9877,3389,15454,24708,225,356,0,0,
"Ontario","1974/1975",7613,2245,12520,10102,24780,0,10791,4153,17914,22327,360,564,0,0,
"Ontario","1975/1976",7127,1564,10723,9453,21127,0,9406,3933,19146,17391,305,474,0,0,
"Ontario","1976/1977",4230,1354,8479,5559,18378,0,7870,4104,22419,19058,295,843,0,0,
"Ontario","1977/1978",3962,1211,6959,5174,14720,0,7065,3766,25536,19629,425,868,0,0,
"Ontario","1978/1979",4001,1058,7225,5050,15527,0,6628,3989,27171,19613,359,829,0,0,
"Ontario","1979/1980",4300,991,6305,4693,13831,0,6670,3926,37019,23024,325,834,0,0,
"Ontario","1980/1981",4329,1058,6698,4359,13983,0,7035,4396,43584,23570,419,906,0,0,
"Ontario","1981/1982",3567,901,6407,4053,12276,0,6476,3608,34070,16449,426,"1,051t",0,0,
"Ontario","1982/1983",4036,945,6082,3981,10918,0,5859,2999,16438,11136,166,740,0,0,
"Ontario","1983/1984",2420,881,5174,3504,12472,0,4748,2521,10223,9831,204,624,0,0,
"Ontario","1984/1985",2169,833,5076,3131,14520,0,4817,2227,9812,9456,131,667,0,0,
"Ontario","1985/1986",2302,751,5151,3302,15332,0,5271,2258,10321,10447,163,537,0,0,
"Ontario","1986/1987",3315,808,5557,3691,15455,0,5179,2151,9339,12315,184,448,0,0,
"Ontario","1987/1988",4670,1057,6675,4520,16288,0,4819,2066,10755,15963,234,504,0,0,
"Ontario","1988/1989",5953,1154,7648,5285,18195,0,5027,2168,12909,20340,228,566,0,0,
"Ontario","1989/1990",6082,1148,8635,5745,20130,0,6051,2395,16825,24611,226,520,0,0,
"Ontario","1990/1991",6564,1006,7636,5325,16972,0,5419,2558,15912,22336,222,600,0,0,
"Ontario","1991/1992",5336,950,7231,4723,16559,0,5156,2479,14190,24470,238,0,368,158,
"Ontario","1992/1993",3894,899,7023,4023,16717,0,5199,2712,12607,26614,256,0,437,193,
"Ontario","1993/1994",3096,877,5746,3475,15826,0,4618,2384,11928,25343,164,0,383,205,
"Ontario","1994/1995",2880,766,5756,3494,15036,0,4702,1958,10952,23530,217,0,318,134,
"Ontario","1995/1996",3222,774,6087,3864,14666,0,4560,2134,12611,23260,214,0,299,190,
"Ontario","1996/1997",2930,762,5755,3545,12986,0,4444,1979,14303,20601,211,0,314,171,
"Ontario","1997/1998",2983,718,5631,3307,12749,0,4608,2067,15679,17606,172,0,311,154,
"Ontario","1998/1999",2899,679,5087,3143,11788,0,3928,1592,12125,14234,165,0,295,180,
"Ontario","1999/2000",3262,660,5428,3332,12561,0,3965,1510,11490,13770,155,0,191,210,
"Ontario","2000/2001",3096,673,5439,3195,13113,0,3811,1456,10358,14147,168,0,258,179,
"Ontario","2001/2002",3935,771,5922,3580,15681,0,4384,1532,13294,14855,183,0,351,241,
"Ontario","2002/2003",3870,815,6253,3440,15495,0,4034,1699,12465,14816,159,0,362,191,
"Ontario","2003/2004",3622,848,5731,3389,15842,0,4175,1606,12525,15659,212,0,366,146,
"Ontario","2004/2005",3687,751,5769,3432,15026,0,3947,1647,18451,17232,195,0,320,207,
"Ontario","2005/2006",3534,742,5969,3158,12868,0,3765,1675,23562,17285,168,0,315,208,
"Ontario","2006/2007",3246,696,5558,3271,12476,0,3696,2147,29402,17537,192,0,412,205,
"Ontario","2007/2008",3271,715,5219,3310,12178,0,3610,2734,27957,16629,259,0,350,236,
"Ontario","2008/2009",3475,682,5162,3169,11947,0,3608,3693,24844,15649,243,0,344,243,
"Ontario","2009/2010",3088,741,5346,3190,12523,0,3797,3536,16784,14473,255,0,423,247,
"Ontario","2010/2011",2693,690,5219,2977,11785,0,3522,3513,17003,14052,195,0,385,290,
"Ontario","2011/2012",2820,737,5450,2947,12149,0,3794,4829,22896,14465,231,0,440,312,
"Ontario","2012/2013",2417,680,4551,2489,10536,0,3418,4159,26453,12970,236,0,368,302,
"Ontario","2013/2014",2272,648,4815,2799,10260,0,3097,3643,28370,15039,294,0,457,285,
"Ontario","2014/2015",2295,683,4788,2734,9909,0,3317,3335,25660,17905,243,0,411,289,
"Ontario","2015/2016",2128,925,4970,2718,10862,0,3548,2770,16163,17666,297,0,448,218,
